,,,C0010,C0020,C0030,C0040,C0050,C0060,C0070,C0080,C0090,C0100
0,Wcześniejsze lata,R0100,,,,,,,,,,
1,N–9,R0160,945 573,393 230,75 105,40 777,23 777,18 123,12 533,8 513,3 559,6 511
2,N–8,R0170,1 176 132,538 917,93 347,44 135,29 943,19 100,12 143,10 583,7 210,
3,N–7,R0180,1 225 357,452 884,90 192,59 583,37 587,26 162,18 989,23 846,,
4,N–6,R0190,1 301 538,532 568,93 168,76 757,72 868,32 521,23 228,,,
5,N–5,R0200,1 645 449,653 798,117 843,66 690,42 062,29 368,,,,
6,N–4,R0210,1 828 406,780 314,124 557,54 113,53 799,,,,,
7,N–3,R0220,1 729 612,610 472,125 299,66 563,,,,,,
8,N–2,R0230,2 063 752,782 555,184 219,,,,,,,
9,N–1,R0240,2 187 511,923 537,,,,,,,,
10,N,R0250,2 458 034,,,,,,,,,
