,,,C0010,C0020,C0030,C0040,C0050,C0060,C0070,C0080,C0090,C0100
0,Wcze(cid:286)niejsze lata,R0100,0,0,0,0,0,0,0,0,0,0
1,N-9,R0160,724 124,177 423,32 101,32 702,21 379,11 129,5 429,4 216,2 701,1 878
2,N-8,R0170,473 430,153 589,34 830,21 685,14 091,10 688,7 326,4 881,4 211,0
3,N-7,R0180,494 867,179 338,55 291,36 737,24 856,17 460,7 720,6 890,0,0
4,N-6,R0190,532 852,179 811,53 564,31 866,19 747,14 734,9 955,0,0,0
5,N-5,R0200,728 853,196 748,46 827,28 154,18 008,14 033,0,0,0,0
6,N-4,R0210,492 699,190 874,37 408,16 911,9 481,0,0,0,0,0
7,N-3,R0220,478 384,175 471,35 472,12 659,0,0,0,0,0,0
8,N-2,R0230,606 841,222 529,23 341,0,0,0,0,0,0,0
9,N-1,R0240,722 092,219 509,0,0,0,0,0,0,0,0
10,N,R0250,743 002,0,0,0,0,0,0,0,0,0
