,,,C0010,C0020,C0030,C0040,C0050,C0060,C0070,C0080,C0090,C0100
0,Wcześniejsze lata,R0100,,,,,,,,,,
1,N–9,R0160,1 086 100,458 837,82 501,66 350,41 476,15 100,20 369,10 150,6 664,9 054
2,N–8,R0170,891 457,345 035,95 639,56 848,26 623,25 872,15 387,8 782,7 000,
3,N–7,R0180,937 316,404 304,96 403,49 380,39 278,21 521,13 406,13 693,,
4,N–6,R0190,1 007 596,407 855,85 685,49 137,36 079,18 595,15 507,,,
5,N–5,R0200,1 005 291,418 644,77 609,42 755,31 698,18 386,,,,
6,N–4,R0210,1 269 215,611 203,152 347,73 019,30 572,,,,,
7,N–3,R0220,1 306 354,497 994,94 620,70 212,,,,,,
8,N–2,R0230,1 411 077,587 157,103 171,,,,,,,
9,N–1,R0240,1 789 635,707 338,,,,,,,,
10,N,R0250,1 997 280,,,,,,,,,
