,,,C0010,C0020,C0030,C0040,C0050,C0060,C0070,C0080,C0090,C0100
0,Wcześniejsze lata,R0100,,,,,,,,,,
1,N–9,R0160,939 792,409 071,97 552,49 755,39 565,21 603,13 603,13 783,6 036,3 833
2,N–8,R0170,1 010 350,411 928,86 646,49 432,36 585,18 756,15 600,12 544,6 613,
3,N–7,R0180,1 007 823,424 348,78 750,43 665,32 028,18 640,15 305,8 564,,
4,N–6,R0190,1 271 529,615 922,153 658,73 763,30 970,20 168,12 066,,,
5,N–5,R0200,1 308 772,503 765,96 086,71 160,43 689,25 360,,,,
6,N–4,R0210,1 414 784,593 571,104 764,80 846,83 764,,,,,
7,N–3,R0220,1 792 805,714 548,133 081,74 491,,,,,,
8,N–2,R0230,2 000 558,838 336,135 645,,,,,,,
9,N–1,R0240,1 898 057,641 394,,,,,,,,
10,N,R0250,2 234 906,,,,,,,,,
