,,,C0010,C0020,C0030,C0040,C0050,C0060,C0070,C0080,C0090,C0100
0,Wcze(cid:286)niejsze lata,R0100,0,0,0,0,0,0,0,0,0,0
1,N-9,R0160,473 430,153 589,34 850,21 685,14 091,10 688,7 326,4 881,4 211,1 394
2,N-8,R0170,494 867,179 371,55 291,36 737,24 856,17 460,7 720,6 890,3 185,0
3,N-7,R0180,532 852,179 811,53 564,31 866,19 747,14 734,9 955,13 873,0,0
4,N-6,R0190,728 853,196 748,46 827,28 154,18 008,14 033,12 664,0,0,0
5,N-5,R0200,492 699,190 874,37 408,16 911,9 481,6 326,0,0,0,0
6,N-4,R0210,478 384,175 471,35 472,12 659,13 116,0,0,0,0,0
7,N-3,R0220,606 841,222 529,23 341,15 194,0,0,0,0,0,0
8,N-2,R0230,722 092,219 509,35 438,0,0,0,0,0,0,0
9,N-1,R0240,743 002,265 196,0,0,0,0,0,0,0,0
10,N,R0250,805 123,0,0,0,0,0,0,0,0,0
