,,,C0010,C0020,C0030,C0040,C0050,C0060,C0070,C0080,C0090,C0100
0,Wcześniejsze lata,R0100,,,,,,,,,,
1,N–9,R0160,892 970,348 356,98 019,57 463,26 917,26 013,15 492,8 799,7 010,13 129
2,N–8,R0170,939 865,409 221,97 591,49 767,39 581,21 607,13 612,13 787,6 038,
3,N–7,R0180,1 010 442,412 067,86 678,49 448,36 604,18 762,15 605,12 548,,
4,N–6,R0190,1 007 908,424 535,78 816,43 699,32 042,18 653,15 313,,,
5,N–5,R0200,1 271 611,616 160,153 715,73 793,30 994,20 180,,,,
6,N–4,R0210,1 308 905,504 009,96 142,71 209,43 713,,,,,
7,N–3,R0220,1 414 927,593 818,104 845,80 880,,,,,,
8,N–2,R0230,1 792 946,714 916,133 202,,,,,,,
9,N–1,R0240,2 000 727,838 696,,,,,,,,
10,N,R0250,1 898 197,,,,,,,,,
