Firma,Rok,Kod_S,Kod_C,Kod_R,Nazwa,Wartosc
Warta,2022,S.19.01.21,C0110,R0100,Wcześniejsze lata,21 501
Warta,2022,S.19.01.21,C0010,R0160,N-9,975 450
Warta,2022,S.19.01.21,C0020,R0160,N-9,335 157
Warta,2022,S.19.01.21,C0030,R0160,N-9,109 187
Warta,2022,S.19.01.21,C0040,R0160,N-9,55 296
Warta,2022,S.19.01.21,C0050,R0160,N-9,33 068
Warta,2022,S.19.01.21,C0060,R0160,N-9,19 802
Warta,2022,S.19.01.21,C0070,R0160,N-9,8 282
Warta,2022,S.19.01.21,C0080,R0160,N-9,14 595
Warta,2022,S.19.01.21,C0090,R0160,N-9,-12 736
Warta,2022,S.19.01.21,C0100,R0160,N-9,4 219
Warta,2022,S.19.01.21,C0010,R0170,N-8,880 529
Warta,2022,S.19.01.21,C0020,R0170,N-8,485 217
Warta,2022,S.19.01.21,C0030,R0170,N-8,74 839
Warta,2022,S.19.01.21,C0040,R0170,N-8,121 417
Warta,2022,S.19.01.21,C0050,R0170,N-8,34 947
Warta,2022,S.19.01.21,C0060,R0170,N-8,21 519
Warta,2022,S.19.01.21,C0070,R0170,N-8,9 719
Warta,2022,S.19.01.21,C0080,R0170,N-8,8 233
Warta,2022,S.19.01.21,C0090,R0170,N-8,2 820
Warta,2022,S.19.01.21,C0010,R0180,N-7,1 137 266
Warta,2022,S.19.01.21,C0020,R0180,N-7,654 635
Warta,2022,S.19.01.21,C0030,R0180,N-7,269 164
Warta,2022,S.19.01.21,C0040,R0180,N-7,81 313
Warta,2022,S.19.01.21,C0050,R0180,N-7,25 040
Warta,2022,S.19.01.21,C0060,R0180,N-7,34 548
Warta,2022,S.19.01.21,C0070,R0180,N-7,14 898
Warta,2022,S.19.01.21,C0080,R0180,N-7,6 668
Warta,2022,S.19.01.21,C0010,R0190,N-6,1 175 491
Warta,2022,S.19.01.21,C0020,R0190,N-6,390 182
Warta,2022,S.19.01.21,C0030,R0190,N-6,88 745
Warta,2022,S.19.01.21,C0040,R0190,N-6,49 337
Warta,2022,S.19.01.21,C0050,R0190,N-6,35 760
Warta,2022,S.19.01.21,C0060,R0190,N-6,19 019
Warta,2022,S.19.01.21,C0070,R0190,N-6,14 328
Warta,2022,S.19.01.21,C0010,R0200,N-5,1 399 977
Warta,2022,S.19.01.21,C0020,R0200,N-5,502 069
Warta,2022,S.19.01.21,C0030,R0200,N-5,133 584
Warta,2022,S.19.01.21,C0040,R0200,N-5,59 094
Warta,2022,S.19.01.21,C0050,R0200,N-5,20 420
Warta,2022,S.19.01.21,C0060,R0200,N-5,24 835
Warta,2022,S.19.01.21,C0010,R0210,N-4,1 515 617
Warta,2022,S.19.01.21,C0020,R0210,N-4,510 055
Warta,2022,S.19.01.21,C0030,R0210,N-4,92 872
Warta,2022,S.19.01.21,C0040,R0210,N-4,51 257
Warta,2022,S.19.01.21,C0050,R0210,N-4,43 990
Warta,2022,S.19.01.21,C0010,R0220,N-3,1 840 716
Warta,2022,S.19.01.21,C0020,R0220,N-3,557 413
Warta,2022,S.19.01.21,C0030,R0220,N-3,104 208
Warta,2022,S.19.01.21,C0040,R0220,N-3,72 230
Warta,2022,S.19.01.21,C0010,R0230,N-2,1 835 428
Warta,2022,S.19.01.21,C0020,R0230,N-2,501 449
Warta,2022,S.19.01.21,C0030,R0230,N-2,90 487
Warta,2022,S.19.01.21,C0010,R0240,N-1,2 278 862
Warta,2022,S.19.01.21,C0020,R0240,N-1,659 904
Warta,2022,S.19.01.21,C0010,R0250,N,2 669 491
